통계년월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202105,서울특별시,종로구,지적,심한 장애,400
202105,서울특별시,종로구,뇌병변,심한 장애,336
202105,서울특별시,종로구,자폐성,심한 장애,102
202105,서울특별시,종로구,정신,심한 장애,259
202105,서울특별시,종로구,신장,심한 장애,198
202105,서울특별시,종로구,심장,심한 장애,9
202105,서울특별시,종로구,호흡기,심한 장애,27
202105,서울특별시,종로구,간,심한 장애,4
202105,서울특별시,종로구,시각,심한 장애,186
202105,서울특별시,종로구,안면,심한 장애,3
202105,서울특별시,종로구,장루.요루,심한 장애,5
202105,서울특별시,종로구,뇌전증,심한 장애,5
202105,서울특별시,종로구,지체,심하지 않은 장애,2094
202105,서울특별시,종로구,시각,심하지 않은 장애,529
202105,서울특별시,종로구,청각,심하지 않은 장애,712
202105,서울특별시,종로구,언어,심하지 않은 장애,26
202105,서울특별시,종로구,뇌병변,심하지 않은 장애,239
202105,서울특별시,종로구,신장,심하지 않은 장애,67
202105,서울특별시,종로구,심장,심하지 않은 장애,3
202105,서울특별시,종로구,간,심하지 않은 장애,41
202105,서울특별시,종로구,청각,심한 장애,218
202105,서울특별시,종로구,안면,심하지 않은 장애,4
202105,서울특별시,종로구,장루.요루,심하지 않은 장애,27
202105,서울특별시,종로구,뇌전증,심하지 않은 장애,9
202105,서울특별시,종로구,언어,심한 장애,20
202105,서울특별시,종로구,지체,심한 장애,448
202105,서울특별시,중구,지적,심한 장애,301
202105,서울특별시,중구,뇌병변,심한 장애,301
202105,서울특별시,중구,자폐성,심한 장애,75
202105,서울특별시,중구,정신,심한 장애,211
202105,서울특별시,중구,신장,심한 장애,172
202105,서울특별시,중구,심장,심한 장애,12
202105,서울특별시,중구,호흡기,심한 장애,30
202105,서울특별시,중구,간,심한 장애,2
202105,서울특별시,중구,지체,심한 장애,478
202105,서울특별시,중구,안면,심한 장애,4
202105,서울특별시,중구,장루.요루,심한 장애,5
202105,서울특별시,중구,시각,심한 장애,187
202105,서울특별시,중구,뇌전증,심한 장애,5
202105,서울특별시,중구,지체,심하지 않은 장애,2062
202105,서울특별시,중구,시각,심하지 않은 장애,534
202105,서울특별시,중구,청각,심하지 않은 장애,664
202105,서울특별시,중구,언어,심하지 않은 장애,14
202105,서울특별시,중구,뇌병변,심하지 않은 장애,261
202105,서울특별시,중구,신장,심하지 않은 장애,56
202105,서울특별시,중구,심장,심하지 않은 장애,1
202105,서울특별시,중구,호흡기,심하지 않은 장애,1
202105,서울특별시,중구,청각,심한 장애,186
202105,서울특별시,중구,간,심하지 않은 장애,37
202105,서울특별시,중구,안면,심하지 않은 장애,1
202105,서울특별시,중구,장루.요루,심하지 않은 장애,35
202105,서울특별시,중구,뇌전증,심하지 않은 장애,18
202105,서울특별시,중구,언어,심한 장애,22
202105,서울특별시,용산구,지적,심한 장애,531
202105,서울특별시,용산구,뇌병변,심한 장애,430
202105,서울특별시,용산구,자폐성,심한 장애,124
202105,서울특별시,용산구,정신,심한 장애,291
202105,서울특별시,용산구,신장,심한 장애,269
202105,서울특별시,용산구,심장,심한 장애,17
202105,서울특별시,용산구,지체,심한 장애,581
202105,서울특별시,용산구,호흡기,심한 장애,48
202105,서울특별시,용산구,간,심한 장애,2
202105,서울특별시,용산구,안면,심한 장애,2
202105,서울특별시,용산구,장루.요루,심한 장애,7
202105,서울특별시,용산구,뇌전증,심한 장애,7
202105,서울특별시,용산구,지체,심하지 않은 장애,2768
202105,서울특별시,용산구,시각,심하지 않은 장애,766
202105,서울특별시,용산구,시각,심한 장애,201
202105,서울특별시,용산구,청각,심하지 않은 장애,909
202105,서울특별시,용산구,언어,심하지 않은 장애,27
202105,서울특별시,용산구,뇌병변,심하지 않은 장애,338
