"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","팩스번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분명","위도","경도","담당자이메일","도서관 소개","설립연도","회원가입요건","대출안내","교통편","층별 설명"
"2413","BIBLIOTECA","0008","강남구","서울특별시 강남구 도산대로 25길 15-4 1층","","","http://","월 화 수 목 금 토요일 : 10:00~17:00","일요일","작은도서관","37.5207695","127.0245651","","","","","","",""
"1571","LH강남3단지작은도서관","0008","강남구","서울특별시 강남구 자곡로3길 22 ","02-459-8700","","","월 수 금요일 : 13:00~17:00","화목요일 주말","작은도서관","37.46997231","127.0910208","","","","","","",""
"1848","休+밤토리SH작은도서관","0008","강남구","서울특별시 강남구 밤고개로26길 50(율현동 강남한신휴플러스6단지)","02-2226-7942","","http://cafe.naver.com/segok2love","화 수 목 금 일요일 : 14:00~18:00","매주 월요일 토요일","작은도서관","37.47054284","127.1137731","","","","","","",""
"1935","강남구립못골도서관","0008","강남구","서울특별시 강남구 자곡로 116","02-459-5522","","http://mglib.gangnam.go.kr","평일 : 09:00~22:00 주말 : 09:00~22:00","매월 둘째 넷째 화요일 및 일요일을 제외한 법정공휴일","공공도서관","37.47153836","127.096582","","","","","","",""
"1066","강남역삼푸른솔도서관","0008","강남구","서울특별시 강남구 테헤란로8길 36. 4층","02-2051-1178","02-2051-1178","http://ysplib.gangnam.go.kr/","평일 : 09:00~18:00 주말 : 09:00~17:00","24 주 화요일 및 법정 공휴일","공공도서관","37.4964968","127.0320274","jsh43073@naver.com","","20090612"," 서울시민 서울소재 학교 재학생 서울 소재 직장 재직자  ","2권 이내 기본 14일 연기 7일[연기는 반납예정일 1주일전 부터 가능 예약자가 있으면 연기가 안됨]  ","2호선 강남역 1번출구에서 역삼역 방향으로 직진.  국기원 사거리에서 역삼초등학교 방향으로 우회전. 150m 직진 스타벅스 옆 강남문화원 건물 4층.",""
"1845","강남한신휴플러스8단지작은도서관","0008","강남구","서울특별시 강남구 밤고개로27길 20(율현동 강남한신휴플러스8단지) ","02-445-9831","","","평일 : 16:00~18:00","토일요일 법정공휴일","작은도서관","37.46971323","127.1130164","","","","","","",""
"1572","강남한양수자인작은씨앗도서관","0008","강남구","서울특별시 강남구 자곡로 260 ","","","cafe.naver.com/sujainbook","평일 : 13:00~18:00","토일요일 법정공휴일","작은도서관","37.47586067","127.1134903","","","","","","",""
"114","개포4동작은도서관","0008","강남구","서울특별시 강남구 개포로38길 12 개포4동주민센터 ","02-3423-7884","","https://library.gangnam.go.kr/small","평일 : 09:00~17:30","토일요일 법정공휴일","작은도서관","37.47882622","127.0516625","","","20110110","","","",""
"3","국립어린이청소년도서관","0008","강남구","서울특별시 강남구 테헤란로7길 21","02-3413-4800","02-3451-0724","http://www.nlcy.go.kr/","평일 : 09:00~18:00 주말 : 09:00~18:00","매월 둘째넷째 월요일 일요일을 제외한 공휴일","","37.50090187","127.0296764","","<p> 	- 1990년대 후반부터 고조되기 시작한 도서관의 어린이서비스에 대한 사회적 요구 증대를 반영하여 2006년 6월 28일 개관한 국립어린이청소년도서관은 국내 도서관의 어린이 및 청소년 서비스 발전을 위한 기반조성 및 지원 연구 어린이서비스 담당사서의 전문성 향상을 위한 계속교육 전략적 장서개발을 위한 국내외 어린이자료의 구입 국내외 교류협력 체제 구축 고품질의 어린이청소년서비스 모델 개발 등의 다양한 활동을 추진하여 전국 어린이청소년도서관의 구심체 역할을 해 나아가고 있는 국가대표 어린이청소년도서관입니다.</p> ","20060628","- 가입대상 : 도서관 이용자  - 가입방법(구비서류) : 홈페이지 또는 도서관 내 이용자등록 PC에서 이용자 등록을 한 후 이용증발급실에서 신분확인(신분증 의료보험증 주민등록 등본 학생증 등 제시) 후 이용증을 발급 받습니다.","- 관외 대출 불가    - 관내 대출      어린이자료실 외국아동자료실 청소년자료실 연구자료실 비치자료는 개가제로 운영합니다.      서고자료실 멀티미디어실 소장자료는 1회 5책 이내로 도서관 내 PC에서 신청 후 열람 가능합니다.","- 지하철 : 2호선 강남역 8번 출구로 나와 역삼역 방향으로 400m              직진 후 과학기술회관 방향으로 100m   - 버스     간선버스 : 140 144 145 146 360 402 420 470                  471 730     광역버스 : 9100 9200 9300 9404 9408 9409 9411                  9503 9700     공항버스 : 609      (강남역 하나은행 강남역 세무서 앞 강남역 사거리 등에서 하차)","- 지하2층 : 식당   - 지하1층 : 독도체험관   - 1층 : 안내데스크 물품보관실 수유실 어린이자료실 외국아동자료실 서고   - 2층 : 멀티미디어실(영상음향실 가상현실동화구연체험관) 서고자료실 전시실 서고   - 3층 : 청소년자료실 연구자료실 관장실 사무실 서고   - 4층 : 강당 세미나실 독서토론실 사무실 서고"
"1573","꿈꾸는작은도서관","0008","강남구","서울특별시 강남구 자곡로3길 21 ","02-445-0955","","","평일 : 11:00~18:00 토:1200~17:00","일요일","작은도서관","37.47176041","127.0881053","","","","","","",""
